richness	exposure	NAP	beach
11	low	0.045	b1
10	low	-1.036	b1
13	low	-1.336	b1
11	low	0.616	b1
10	low	-0.684	b1
8	low	1.19	b2
9	low	0.82	b2
8	low	0.635	b2
19	low	0.061	b2
17	low	-1.334	b2
6	high	-0.976	b3
1	high	1.494	b3
4	high	-0.201	b3
3	high	-0.482	b3
3	high	0.167	b3
1	high	1.768	b4
3	high	-0.03	b4
3	high	0.46	b4
1	high	1.367	b4
4	high	-0.811	b4
3	low	1.117	b5
22	low	-0.503	b5
6	low	0.729	b5
0	low	1.627	b5
6	low	0.054	b5
5	high	-0.578	b6
4	high	-0.348	b6
1	high	2.222	b6
6	high	-0.893	b6
4	high	0.766	b6
2	high	0.883	b7
1	high	1.786	b7
1	high	1.375	b7
3	high	-0.06	b7
4	high	0.367	b7
3	low	1.671	b8
5	low	-0.375	b8
7	low	-1.005	b8
5	low	0.17	b8
0	low	2.052	b8
7	low	-0.356	b9
11	low	0.094	b9
3	low	-0.002	b9
0	low	2.255	b9
2	low	0.865	b9
