nest_code,site,tree,nest,stratum,genus_species,tree_code,ct_max,ct_min,breadth
ER1-QA6-AN1,ER1,QA6,AN1,arboreal,Camponotus pennsylvanicus,ER1-QA6,46.63333333333333,5.733333333333333,40.9
ER1-QA6-GN1,ER1,QA6,GN1,terrestrial,Aphaenogaster tennesseensis,ER1-QA6,42.4,5.46,36.94
ER1-QA6-GN11,ER1,QA6,GN11,terrestrial,Aphaenogaster rudis s.l.,ER1-QA6,42.2,5.1,37.1
ER1-QA6-GN12,ER1,QA6,GN12,terrestrial,Camponotus chromaiodes,ER1-QA6,45.38,3.72,41.660000000000004
ER1-QA6-GN16,ER1,QA6,GN16,terrestrial,Camponotus castaneus,ER1-QA6,43.55,3.0999999999999996,40.449999999999996
ER1-QA6-GN17,ER1,QA6,GN17,terrestrial,Formica subsericea,ER1-QA6,46.25,2.6666666666666665,43.583333333333336
ER1-QA6-GN18,ER1,QA6,GN18,terrestrial,Nylanderia faisonensis,ER1-QA6,44.666666666666664,5.85,38.81666666666666
ER1-QA6-GN19,ER1,QA6,GN19,terrestrial,Temnothorax curvispinosus,ER1-QA6,47.9,5.033333333333333,42.86666666666667
ER1-QA6-GN3,ER1,QA6,GN3,terrestrial,Aphaenogaster rudis s.l.,ER1-QA6,42.2,8.05,34.150000000000006
ER1-QA6-GN9,ER1,QA6,GN9,terrestrial,Aphaenogaster rudis s.l.,ER1-QA6,42.68,4.8,37.88
ER2-QA4-AN1,ER2,QA4,AN1,arboreal,Brachyponera chinensis,ER2-QA4,40.58,7.04,33.54
ER2-QA4-AN3,ER2,QA4,AN3,arboreal,Brachyponera chinensis,ER2-QA4,40.4,6.76,33.64
ER2-QA4-GN1,ER2,QA4,GN1,terrestrial,Formica subsericea,ER2-QA4,45.24,7.64,37.6
ER2-QA4-GN11,ER2,QA4,GN11,terrestrial,Aphaenogaster rudis s.l.,ER2-QA4,43.1,6.54,36.56
ER2-QA4-GN2,ER2,QA4,GN2,terrestrial,Aphaenogaster rudis s.l.,ER2-QA4,43.92,7,36.92
ER2-QA4-GN3,ER2,QA4,GN3,terrestrial,Brachyponera chinensis,ER2-QA4,40.4,6.62,33.78
ER2-QA4-GN4,ER2,QA4,GN4,terrestrial,Brachyponera chinensis,ER2-QA4,40.58,8.78,31.799999999999997
ER2-QA4-GN8,ER2,QA4,GN8,terrestrial,Brachyponera chinensis,ER2-QA4,40.4,7.6,32.8
ER2-QA5-AN1,ER2,QA5,AN1,arboreal,Crematogaster ashmeadi,ER2-QA5,49.2,5,44.2
ER2-QA5-GN14,ER2,QA5,GN14,terrestrial,Camponotus chromaiodes,ER2-QA5,44.14,3.14,41
ER2-QA5-GN15,ER2,QA5,GN15,terrestrial,Prenolepis imparis,ER2-QA5,42.349999999999994,4.2,38.14999999999999
ER2-QA5-GN5,ER2,QA5,GN5,terrestrial,Brachyponera chinensis,ER2-QA5,40.02,7.359999999999999,32.660000000000004
ER2-QA5-GN9,ER2,QA5,GN9,terrestrial,Brachyponera chinensis,ER2-QA5,39.92,6.1,33.82
ER2-QA6-AN1,ER2,QA6,AN1,arboreal,Camponotus nearcticus,ER2-QA6,46.7,7.25,39.45
ER2-QA6-GN11,ER2,QA6,GN11,terrestrial,Monomorium minimum,ER2-QA6,48.225,8.66,39.565
ER2-QA6-GN12,ER2,QA6,GN12,terrestrial,Camponotus chromaiodes,ER2-QA6,42.63333333333333,3.8666666666666667,38.766666666666666
ER2-QA6-GN2,ER2,QA6,GN2,terrestrial,Formica subsericea,ER2-QA6,46.1,3.3800000000000003,42.72
ER2-QA6-GN3,ER2,QA6,GN3,terrestrial,Camponotus castaneus,ER2-QA6,43,8.649999999999999,34.35
ER2-QA6-GN7,ER2,QA6,GN7,terrestrial,Aphaenogaster rudis s.l.,ER2-QA6,43.08,4.8,38.28
ER2-QA6-GN8,ER2,QA6,GN8,terrestrial,Camponotus castaneus,ER2-QA6,43.349999999999994,2.1,41.24999999999999
ER2-QA6-GN9,ER2,QA6,GN9,terrestrial,Formica subsericea,ER2-QA6,45.7,5.1,40.6
FL2-QA4-AN1,FL2,QA4,AN1,arboreal,Aphaenogaster mariae,FL2-QA4,43.4,8.24,35.16
FL2-QA4-GN1,FL2,QA4,GN1,terrestrial,Brachyponera chinensis,FL2-QA4,40,5.3,34.7
FL2-QA4-GN3,FL2,QA4,GN3,terrestrial,Camponotus castaneus,FL2-QA4,43.025,4.766666666666667,38.25833333333333
