species,growth_form,ln_area,mortality
Acropora millepora,corymbose,-3.427419129,0
Acropora millepora,corymbose,-3.964137648,0
Acropora millepora,corymbose,-3.682131074,0
Acropora millepora,corymbose,-5.144649963,0
Acropora millepora,corymbose,-3.814404505,0
Acropora millepora,corymbose,-3.661056905,0
Acropora millepora,corymbose,-2.951347,0
Acropora millepora,corymbose,-3.647658638,0
Acropora millepora,corymbose,-3.017333501,0
Acropora millepora,corymbose,-2.829686781,0
Acropora millepora,corymbose,-2.086392949,1
Acropora millepora,corymbose,-3.605482378,0
Acropora millepora,corymbose,-2.885470027,0
Acropora millepora,corymbose,-2.06464919,0
Acropora millepora,corymbose,-4.28687693,0
Acropora millepora,corymbose,-6.295200067,1
Acropora millepora,corymbose,-3.244052813,0
Acropora millepora,corymbose,-3.518491098,0
Acropora millepora,corymbose,-3.50671957,0
Acropora millepora,corymbose,-3.702158179,1
Acropora millepora,corymbose,-2.980288301,1
Acropora millepora,corymbose,-4.643452133,0
Acropora millepora,corymbose,-4.327433095,0
Acropora millepora,corymbose,-4.423062654,0
Acropora millepora,corymbose,-3.957734903,0
Acropora millepora,corymbose,-3.983542407,0
Acropora millepora,corymbose,-3.712944069,0
Acropora millepora,corymbose,-3.340830622,0
Acropora millepora,corymbose,-4.753242852,0
Acropora millepora,corymbose,-4.246784207,0
Acropora millepora,corymbose,-3.768604053,0
Acropora millepora,corymbose,-5.259911235,0
Acropora millepora,corymbose,-5.382663447,0
Acropora millepora,corymbose,-3.714871764,0
Acropora millepora,corymbose,-2.773525562,0
Acropora millepora,corymbose,-4.052322324,0
Acropora millepora,corymbose,-2.964349583,0
Acropora millepora,corymbose,-2.902105369,0
Acropora millepora,corymbose,-3.513456266,1
Acropora millepora,corymbose,-3.542829146,0
Acropora millepora,corymbose,-1.975180135,0
Acropora millepora,corymbose,-3.514808001,0
Acropora millepora,corymbose,-3.570541164,1
Acropora millepora,corymbose,-3.503252957,0
Acropora millepora,corymbose,-3.44116923,0
Acropora millepora,corymbose,-4.058870638,0
Acropora millepora,corymbose,-3.785791191,0
Acropora millepora,corymbose,-3.914965916,0
Acropora millepora,corymbose,-4.76643024,1
Acropora millepora,corymbose,-3.851813885,0
Acropora millepora,corymbose,-3.259349199,0
Acropora millepora,corymbose,-3.576008907,0
Acropora millepora,corymbose,-4.821205608,0
Acropora millepora,corymbose,-3.702094383,0
Acropora millepora,corymbose,-3.805141052,1
Acropora millepora,corymbose,-6.001294208,0
Acropora millepora,corymbose,-5.491031134,0
Acropora millepora,corymbose,-3.501105497,0
Acropora millepora,corymbose,-2.569615305,1
Acropora millepora,corymbose,-4.327402904,1
Acropora millepora,corymbose,-2.556256994,0
Acropora millepora,corymbose,-3.602906594,0
Acropora millepora,corymbose,-3.358720842,0
Acropora millepora,corymbose,-1.944508773,0
Acropora millepora,corymbose,-3.167749979,0
Acropora millepora,corymbose,-3.282715893,1
Acropora millepora,corymbose,-3.489965529,0
Acropora millepora,corymbose,-3.482717166,0
Acropora millepora,corymbose,-3.48167316,0
Acropora millepora,corymbose,-4.100524896,1
Acropora millepora,corymbose,-3.640911244,0
Acropora millepora,corymbose,-3.79359864,1
Acropora millepora,corymbose,-3.916477689,0
Acropora nasuta,corymbose,-3.526468751,1
Acropora nasuta,corymbose,-2.963906069,0
Acropora nasuta,corymbose,-2.455071282,0
Acropora nasuta,corymbose,-2.73577495,0
Acropora nasuta,corymbose,-3.832952984,0
Acropora nasuta,corymbose,-3.384743021,0
Acropora nasuta,corymbose,-3.434745332,0
Acropora nasuta,corymbose,-3.5000387,0
Acropora nasuta,corymbose,-2.751975379,0
Acropora nasuta,corymbose,-3.763357291,0
Acropora nasuta,corymbose,-2.763221805,1
Acropora nasuta,corymbose,-2.790852791,0
Acropora nasuta,corymbose,-3.033085097,1
Acropora nasuta,corymbose,-4.209394341,0
Acropora nasuta,corymbose,-2.229745498,0
Acropora nasuta,corymbose,-3.464435326,0
Acropora nasuta,corymbose,-3.953214108,1
Acropora nasuta,corymbose,-3.759355309,0
Acropora nasuta,corymbose,-4.041892777,0
Acropora nasuta,corymbose,-2.520047633,0
Acropora nasuta,corymbose,-4.490970647,1
Acropora nasuta,corymbose,-3.891991014,0
Acropora nasuta,corymbose,-2.667142435,1
Acropora nasuta,corymbose,-4.204534716,0
Acropora nasuta,corymbose,-2.701571501,0
Acropora nasuta,corymbose,-4.698594382,1
Acropora nasuta,corymbose,-3.773956685,0
Acropora nasuta,corymbose,-2.929980472,0
Acropora nasuta,corymbose,-2.782488442,0
Acropora nasuta,corymbose,-3.535239171,0
Acropora nasuta,corymbose,-3.440240367,0
Acropora nasuta,corymbose,-2.769706747,0
Acropora nasuta,corymbose,-3.127044891,0
Acropora nasuta,corymbose,-3.802579638,0
Acropora nasuta,corymbose,-2.614454517,0
Acropora nasuta,corymbose,-2.958977062,0
Acropora nasuta,corymbose,-2.821380397,0
Acropora nasuta,corymbose,-2.92716352,0
Acropora nasuta,corymbose,-2.531793918,0
Acropora nasuta,corymbose,-2.239429456,0
Acropora nasuta,corymbose,-3.284797837,0
Acropora nasuta,corymbose,-2.196438641,0
Acropora nasuta,corymbose,-2.659725175,0
Acropora nasuta,corymbose,-3.659810693,0
Acropora nasuta,corymbose,-3.47372232,0
Acropora nasuta,corymbose,-3.0111859,0
Acropora nasuta,corymbose,-3.19578586,0
Acropora nasuta,corymbose,-2.953960223,0
Acropora nasuta,corymbose,-4.698462137,0
Acropora nasuta,corymbose,-2.855830525,0
Acropora nasuta,corymbose,-4.040794703,0
Acropora nasuta,corymbose,-2.253438005,0
Acropora nasuta,corymbose,-3.516471963,1
Acropora nasuta,corymbose,-4.201327757,1
Acropora nasuta,corymbose,-3.8148756,0
Acropora nasuta,corymbose,-2.885657115,1
Acropora nasuta,corymbose,-4.679433206,1
Acropora nasuta,corymbose,-3.755976529,0
Acropora nasuta,corymbose,-2.319509736,0
Acropora nasuta,corymbose,-3.780405462,0
Acropora nasuta,corymbose,-3.260651996,0
Acropora nasuta,corymbose,-2.91434555,0
Acropora nasuta,corymbose,-4.038002592,0
Acropora nasuta,corymbose,-3.083143293,0
Acropora nasuta,corymbose,-2.855613147,0
Acropora nasuta,corymbose,-2.966050392,0
Acropora nasuta,corymbose,-3.291530911,0
Acropora nasuta,corymbose,-2.602457295,0
Acropora nasuta,corymbose,-3.073510305,0
Acropora nasuta,corymbose,-2.781799524,0
Acropora nasuta,corymbose,-2.981547955,0
Acropora nasuta,corymbose,-2.585414435,0
Acropora nasuta,corymbose,-2.180765717,0
Acropora nasuta,corymbose,-2.556679335,0
Acropora nasuta,corymbose,-4.501440285,0
Acropora nasuta,corymbose,-3.024902345,0
Acropora nasuta,corymbose,-4.532529852,0
Acropora nasuta,corymbose,-3.517801957,0
Acropora nasuta,corymbose,-2.061319941,1
Acropora nasuta,corymbose,-2.601196575,0
Acropora nasuta,corymbose,-3.923812425,0
Acropora nasuta,corymbose,-4.301634822,1
Acropora nasuta,corymbose,-3.120304149,0
Acropora nasuta,corymbose,-2.983297648,0
Acropora nasuta,corymbose,-3.447007861,0
Acropora nasuta,corymbose,-3.833687387,0
Acropora nasuta,corymbose,-3.655382643,0
Acropora nasuta,corymbose,-4.027836649,0
Acropora nasuta,corymbose,-2.069798442,1
Acropora nasuta,corymbose,-2.856802835,1
Acropora nasuta,corymbose,-6.6676952,1
Acropora nasuta,corymbose,-2.190194127,0
Acropora nasuta,corymbose,-4.831586307,0
Acropora nasuta,corymbose,-3.249172795,0
Acropora nasuta,corymbose,-2.808181841,0
Acropora nasuta,corymbose,-3.763618571,0
Acropora nasuta,corymbose,-2.859422678,0
Acropora nasuta,corymbose,-2.758698808,1
Acropora nasuta,corymbose,-3.072589532,1
Acropora nasuta,corymbose,-3.144939682,0
Acropora nasuta,corymbose,-2.546579252,0
Acropora nasuta,corymbose,-3.7081907,1
Acropora nasuta,corymbose,-3.14478843,0
Acropora nasuta,corymbose,-2.924441927,1
Acropora nasuta,corymbose,-2.26155906,0
Acropora nasuta,corymbose,-2.424202078,0
