species,growth_form,ln_area_cm2,mortality
Acropora cf digitifera,digitate,-2.591150869,0
Acropora cf digitifera,digitate,-2.859656685,0
Acropora cf digitifera,digitate,-2.747310672,0
Acropora cf digitifera,digitate,-6.001921595,1
Acropora cf digitifera,digitate,-2.883322293,0
Acropora cf digitifera,digitate,-2.544607212,0
Acropora cf digitifera,digitate,-3.530715068,0
Acropora cf digitifera,digitate,-3.363936872,0
Acropora cf digitifera,digitate,-2.698561895,0
Acropora cf digitifera,digitate,-4.717046252,0
Acropora cf digitifera,digitate,-5.237825303,1
Acropora cf digitifera,digitate,-3.144897889,0
Acropora cf digitifera,digitate,-2.049022667,0
Acropora cf digitifera,digitate,-3.516159881,0
Acropora cf digitifera,digitate,-3.247020932,0
Acropora cf digitifera,digitate,-3.170306585,0
Acropora cf digitifera,digitate,-4.604468784,0
Acropora cf digitifera,digitate,-3.857140042,0
Acropora cf digitifera,digitate,-3.445048485,0
Acropora cf digitifera,digitate,-4.543397849,0
Acropora cf digitifera,digitate,-2.957647213,0
Acropora cf digitifera,digitate,-3.114712934,0
Acropora cf digitifera,digitate,-2.669905122,0
Acropora cf digitifera,digitate,-2.084600062,0
Acropora cf digitifera,digitate,-3.11285603,0
Acropora cf digitifera,digitate,-2.972346295,0
Acropora cf digitifera,digitate,-3.468332587,0
Acropora cf digitifera,digitate,-1.779676759,0
Acropora cf digitifera,digitate,-3.168693768,0
Acropora cf digitifera,digitate,-2.982473295,0
Acropora cf digitifera,digitate,-2.920634617,0
Acropora cf digitifera,digitate,-3.050020013,0
Acropora cf digitifera,digitate,-2.454057958,0
Acropora cf digitifera,digitate,-3.760025153,1
Acropora cf digitifera,digitate,-3.323881433,0
Acropora cf digitifera,digitate,-2.988643486,0
Acropora cf digitifera,digitate,-4.432747988,0
Acropora cf digitifera,digitate,-4.691229623,1
Acropora cf digitifera,digitate,-1.931257927,0
Acropora cf digitifera,digitate,-3.762674284,0
Acropora cf digitifera,digitate,-3.128668512,0
Acropora cf digitifera,digitate,-3.076814178,0
Acropora cf digitifera,digitate,-4.242104211,0
Acropora cf digitifera,digitate,-3.174740184,0
Acropora cf digitifera,digitate,-2.978493186,0
Acropora cf digitifera,digitate,-4.417448905,0
Acropora cf digitifera,digitate,-3.091527178,0
Acropora cf digitifera,digitate,-2.897410724,0
Acropora cf digitifera,digitate,-2.532701465,0
Acropora cf digitifera,digitate,-2.00015865,0
Acropora cf digitifera,digitate,-3.211459162,0
Acropora cf digitifera,digitate,-3.792009898,0
Acropora cf digitifera,digitate,-3.369858683,0
Acropora cf digitifera,digitate,-1.809367957,0
Acropora cf digitifera,digitate,-6.248625463,0
Acropora cf digitifera,digitate,-3.040335595,0
Acropora cf digitifera,digitate,-3.10525319,0
Acropora cf digitifera,digitate,-3.231067347,0
Acropora cf digitifera,digitate,-2.822728339,0
Acropora cf digitifera,digitate,-2.729191113,0
Acropora cf digitifera,digitate,-3.204461747,1
Acropora cf digitifera,digitate,-2.414038311,0
Acropora cf digitifera,digitate,-3.282470647,0
Acropora cf digitifera,digitate,-3.146416721,0
Acropora cf digitifera,digitate,-4.240467686,0
Acropora cf digitifera,digitate,-2.023996989,0
Acropora cf digitifera,digitate,-4.267517932,0
Acropora cf digitifera,digitate,-3.005432362,0
Acropora cf digitifera,digitate,-2.991182543,0
Acropora cf digitifera,digitate,-3.965821914,0
Acropora cf digitifera,digitate,-3.07519192,0
Acropora cf digitifera,digitate,-2.704756455,0
Acropora cf digitifera,digitate,-4.155767627,0
Acropora cf digitifera,digitate,-2.926255652,0
Acropora cf digitifera,digitate,-3.735427675,1
Acropora cf digitifera,digitate,-2.581242452,0
Acropora cf digitifera,digitate,-2.210286492,0
Acropora cf digitifera,digitate,-3.316887617,0
Acropora cf digitifera,digitate,-3.654556147,1
Acropora cf digitifera,digitate,-3.405835734,0
Acropora cf digitifera,digitate,-1.762305388,1
Acropora cf digitifera,digitate,-6.339379448,0
Acropora cf digitifera,digitate,-3.110370264,0
Acropora cytherea,tabular,-2.478941155,0
Acropora cytherea,tabular,-2.215612335,0
Acropora cytherea,tabular,-3.104875615,1
Acropora cytherea,tabular,-1.166884967,0
Acropora cytherea,tabular,-1.448307015,1
Acropora cytherea,tabular,-2.504369132,0
Acropora cytherea,tabular,-3.858719734,0
Acropora cytherea,tabular,-1.694988442,0
Acropora cytherea,tabular,-0.391713533,0
Acropora cytherea,tabular,-1.432064624,0
Acropora cytherea,tabular,-2.654144806,0
Acropora cytherea,tabular,-2.142313812,0
Acropora cytherea,tabular,-1.183432939,1
Acropora cytherea,tabular,-3.332942709,1
Acropora cytherea,tabular,-2.103937465,0
Acropora cytherea,tabular,-1.019390685,0
Acropora cytherea,tabular,-1.892801012,0
Acropora cytherea,tabular,-4.567117897,0
Acropora cytherea,tabular,-4.049786311,0
Acropora cytherea,tabular,-1.661314207,0
Acropora cytherea,tabular,-2.787042024,0
Acropora cytherea,tabular,-1.429051778,0
Acropora cytherea,tabular,-3.774359899,0
Acropora cytherea,tabular,-0.719537803,0
Acropora cytherea,tabular,-0.95957923,0
Acropora cytherea,tabular,-1.572051104,0
Acropora cytherea,tabular,-1.78078175,1
Acropora cytherea,tabular,-1.01480276,1
Acropora cytherea,tabular,-2.67804652,0
Acropora cytherea,tabular,-2.70399929,0
Acropora cytherea,tabular,-1.234392145,0
Acropora cytherea,tabular,-0.130609911,0
Acropora cytherea,tabular,-1.25217175,0
Acropora cytherea,tabular,-2.708947662,0
Acropora cytherea,tabular,-1.821866332,0
Acropora cytherea,tabular,-1.669613492,0
Acropora cytherea,tabular,-1.180894835,0
Acropora cytherea,tabular,-1.457579331,0
Acropora cytherea,tabular,-4.225149518,0
Acropora cytherea,tabular,-3.314167756,1
Acropora cytherea,tabular,-1.263290507,0
Acropora cytherea,tabular,-2.150029338,0
Acropora cytherea,tabular,-1.496952434,0
Acropora cytherea,tabular,-0.372177156,0
Acropora cytherea,tabular,0.561278389,1
Acropora cytherea,tabular,-2.633709029,0
Acropora cytherea,tabular,-4.743474346,1
Acropora cytherea,tabular,-4.543929934,0
Acropora cytherea,tabular,-3.31733617,0
Acropora cytherea,tabular,-1.531670957,0
Acropora cytherea,tabular,-1.000050518,0
Acropora cytherea,tabular,-2.502461076,0
Acropora cytherea,tabular,-2.472291746,0
Acropora cytherea,tabular,-1.47406596,0
Acropora cytherea,tabular,0.101927321,0
Acropora cytherea,tabular,-1.074823235,0
Acropora cytherea,tabular,-2.166671033,0
Acropora cytherea,tabular,-1.760770239,0
Acropora cytherea,tabular,-1.341903732,0
Acropora cytherea,tabular,-1.117884651,1
Acropora cytherea,tabular,-1.070323834,1
Acropora cytherea,tabular,-3.832807448,1
Acropora cytherea,tabular,-0.849793282,0
Acropora cytherea,tabular,-1.857770812,0
Acropora cytherea,tabular,-1.643809634,0
