alum	trt	tree	week	height
0	a	t1	4	60
0	a	t1	5	62
0	a	t1	6	78
0	a	t1	7	104
0	a	t2	4	41
0	a	t2	5	50
0	a	t2	6	60
0	a	t2	7	60
0	a	t3	4	85
0	a	t3	5	97
0	a	t3	6	115
0	a	t3	7	120
0	a	t4	4	88
0	a	t4	5	87
0	a	t4	6	90
0	a	t4	7	80
0	a	t5	4	66
0	a	t5	5	65
0	a	t5	6	80
0	a	t5	7	95
0	a	t6	4	106
0	a	t6	5	100
0	a	t6	6	133
0	a	t6	7	172
0	a	t7	4	61
0	a	t7	5	65
0	a	t7	6	65
0	a	t7	7	54
0	a	t8	4	52
0	a	t8	5	62
0	a	t8	6	65
0	a	t8	7	50
0	a	t9	4	194
0	a	t9	5	210
0	a	t9	6	250
0	a	t9	7	300
0	a	t10	4	86
0	a	t10	5	90
0	a	t10	6	105
0	a	t10	7	163
0	a	t11	4	140
0	a	t11	5	183
0	a	t11	6	283
0	a	t11	7	310
0	a	t12	4	41
0	a	t12	5	45
0	a	t12	6	83
0	a	t12	7	135
0	a	t13	4	99
0	a	t13	5	190
0	a	t13	6	280
0	a	t13	7	262
0	a	t14	4	144
0	a	t14	5	208
0	a	t14	6	220
0	a	t14	7	221
0	a	t15	4	117
0	a	t15	5	155
0	a	t15	6	208
0	a	t15	7	323
0	a	t16	4	102
0	a	t16	5	100
0	a	t16	6	105
0	a	t16	7	100
100	b	t1	4	70
100	b	t1	5	86
100	b	t1	6	100
100	b	t1	7	90
100	b	t2	4	167
100	b	t2	5	190
100	b	t2	6	230
100	b	t2	7	320
100	b	t3	4	116
100	b	t3	5	120
100	b	t3	6	157
100	b	t3	7	291
100	b	t4	4	85
100	b	t4	5	100
100	b	t4	6	125
100	b	t4	7	180
100	b	t5	4	90
100	b	t5	5	85
100	b	t5	6	90
100	b	t5	7	150
100	b	t6	4	44
100	b	t6	5	45
100	b	t6	6	70
100	b	t6	7	82
100	b	t7	4	71
100	b	t7	5	68
100	b	t7	6	70
100	b	t7	7	65
100	b	t8	4	40
100	b	t8	5	35
100	b	t8	6	37
100	b	t8	7	34
100	b	t9	4	29
100	b	t9	5	30
100	b	t9	6	32
100	b	t9	7	32
100	b	t10	4	49
100	b	t10	5	50
100	b	t10	6	60
100	b	t10	7	65
100	b	t11	4	116
100	b	t11	5	125
100	b	t11	6	130
100	b	t11	7	115
100	b	t12	4	135
100	b	t12	5	195
100	b	t12	6	225
100	b	t12	7	265
100	b	t13	4	73
100	b	t13	5	80
100	b	t13	6	85
100	b	t13	7	117
100	b	t14	4	39
100	b	t14	5	40
100	b	t14	6	40
100	b	t14	7	40
100	b	t15	4	21
100	b	t15	5	25
100	b	t15	6	32
100	b	t15	7	30
100	b	t16	4	69
100	b	t16	5	80
100	b	t16	6	80
100	b	t16	7	86
300	c	t1	4	67
300	c	t1	5	65
300	c	t1	6	65
300	c	t1	7	62
300	c	t2	4	119
300	c	t2	5	145
300	c	t2	6	167
300	c	t2	7	234
300	c	t3	4	72
300	c	t3	5	70
300	c	t3	6	80
300	c	t3	7	115
300	c	t4	4	81
300	c	t4	5	80
300	c	t4	6	83
300	c	t4	7	85
300	c	t5	4	31
300	c	t5	5	35
300	c	t5	6	43
300	c	t5	7	95
300	c	t6	4	50
300	c	t6	5	48
300	c	t6	6	55
300	c	t6	7	81
300	c	t7	4	62
300	c	t7	5	75
300	c	t7	6	105
300	c	t7	7	177
300	c	t8	4	50
300	c	t8	5	47
300	c	t8	6	50
300	c	t8	7	62
300	c	t9	4	111
300	c	t9	5	120
300	c	t9	6	130
300	c	t9	7	140
300	c	t10	4	68
300	c	t10	5	68
300	c	t10	6	72
300	c	t10	7	62
300	c	t11	4	80
300	c	t11	5	78
300	c	t11	6	83
300	c	t11	7	74
300	c	t12	4	72
300	c	t12	5	90
300	c	t12	6	105
300	c	t12	7	115
300	c	t13	4	45
300	c	t13	5	40
300	c	t13	6	45
300	c	t13	7	103
300	c	t14	4	67
300	c	t14	5	80
300	c	t14	6	85
300	c	t14	7	82
300	c	t15	4	105
300	c	t15	5	105
300	c	t15	6	108
300	c	t15	7	100
300	c	t16	4	50
300	c	t16	5	65
300	c	t16	6	75
300	c	t16	7	85
600	d	t1	4	76
600	d	t1	5	95
600	d	t1	6	95
600	d	t1	7	92
600	d	t2	4	111
600	d	t2	5	115
600	d	t2	6	115
600	d	t2	7	95
600	d	t3	4	190
600	d	t3	5	200
600	d	t3	6	225
600	d	t3	7	300
600	d	t4	4	110
