index	colony	concentration	antennation
1	A	0.1	15
2	A	0.1	44
3	A	0.1	5
4	A	0.1	43
5	A	0.1	21
6	A	0.1	13
7	A	0.1	44
8	A	0.1	34
9	A	0.1	55
10	A	0.1	40
11	B	0.1	37
12	B	0.1	49
13	B	0.1	40
14	B	0.1	4
15	B	0.1	39
16	B	0.1	0
17	B	0.1	3
18	B	0.1	9
19	B	0.1	13
20	B	0.1	38
21	A	0.3	33
22	A	0.3	47
23	A	0.3	62
24	A	0.3	20
25	A	0.3	20
26	A	0.3	51
27	A	0.3	55
28	A	0.3	51
29	A	0.3	73
30	A	0.3	49
31	B	0.3	37
32	B	0.3	58
33	B	0.3	27
34	B	0.3	54
35	B	0.3	30
36	B	0.3	32
37	B	0.3	51
38	B	0.3	52
39	B	0.3	59
40	B	0.3	40
41	A	1	24
42	A	1	58
43	A	1	55
44	A	1	79
45	A	1	44
46	A	1	51
47	A	1	23
48	A	1	84
49	A	1	10
50	A	1	46
51	B	1	50
52	B	1	32
53	B	1	43
54	B	1	71
55	B	1	43
56	B	1	36
57	B	1	39
58	B	1	44
59	B	1	81
60	B	1	53
61	A	3	39
62	A	3	87
63	A	3	93
64	A	3	72
65	A	3	71
66	A	3	86
67	A	3	69
68	A	3	64
69	A	3	109
70	A	3	50
71	B	3	46
72	B	3	29
73	B	3	49
74	B	3	40
75	B	3	51
76	B	3	55
77	B	3	54
78	B	3	48
79	B	3	51
